Date,Close,AdjClose,RSI14
2021-04-27,117500.0000,92407.0547,80.0953
2021-04-28,119500.0000,93979.9531,81.4557
2021-04-29,111000.0000,87295.1797,62.0470
2021-04-30,112000.0000,88081.6250,63.1591
2021-05-03,106500.0000,83756.1875,53.8180
2021-05-04,107000.0000,84149.4141,54.4772
2021-05-06,109000.0000,85722.2891,57.1139
2021-05-07,112000.0000,88081.6250,60.7833
2021-05-10,113000.0000,88868.0625,61.9519
2021-05-11,110000.0000,86508.7422,56.5114
2021-05-12,105500.0000,82969.7344,49.4906
2021-05-13,104000.0000,81790.0781,47.3777
2021-05-14,106000.0000,83362.9688,50.4173
2021-05-17,103000.0000,81003.6328,46.1144
2021-05-18,105500.0000,82969.7344,49.9480
2021-05-20,102500.0000,80610.4141,45.7425
2021-05-21,103000.0000,81003.6328,46.5502
2021-05-24,103500.0000,81396.8594,47.3937
2021-05-25,104500.0000,82183.2969,49.1228
2021-05-26,104500.0000,82183.2969,49.1228
2021-05-27,104000.0000,81790.0781,48.2040
2021-05-28,104500.0000,82183.2969,49.2267
2021-05-31,104000.0000,81790.0781,48.2018
2021-06-01,103000.0000,81003.6328,46.1329
2021-06-02,106000.0000,83362.9688,52.6929
2021-06-03,108500.0000,85329.0703,57.3537
2021-06-04,110000.0000,86508.7422,59.9061
2021-06-07,109500.0000,86115.5156,58.6461
2021-06-08,110000.0000,86508.7422,59.5621
2021-06-09,106500.0000,83756.1875,51.0399
2021-06-10,105500.0000,82969.7344,48.8876
2021-06-11,106500.0000,83756.1875,51.1079
2021-06-14,105000.0000,82576.5156,47.7567
2021-06-15,105000.0000,82576.5156,47.7567
2021-06-16,106000.0000,83362.9688,50.2776
2021-06-17,107000.0000,84149.4141,52.7336
2021-06-18,104000.0000,81790.0781,45.4762
2021-06-21,101500.0000,79823.9688,40.4770
2021-06-22,105000.0000,82576.5156,48.9398
2021-06-23,104000.0000,81790.0781,46.8886
2021-06-24,102500.0000,80610.4141,43.9153
2021-06-25,107500.0000,84542.6328,54.3148
2021-06-28,108500.0000,85329.0703,56.0693
2021-06-29,103000.0000,81003.6328,45.6787
2021-06-30,103000.0000,81003.6328,45.6787
2021-07-01,101000.0000,79430.7422,42.3675
2021-07-02,100000.0000,78644.3047,40.7760
2021-07-05,99900.0000,78565.6641,40.6117
2021-07-06,98700.0000,77621.9297,38.6017
2021-07-07,96900.0000,76206.3281,35.7439
